name,population,white,Hispanic or Latino,Black,Asian,Other
Albany Park,47663,16037,21083,2024,7044,1475
Archer Heights,13867,2042,11089,3,679,54
Armour Square,13228,2217,558,1545,8423,485
Ashburn,42745,3772,19875,17966,328,804
Auburn Gresham,46468,491,1569,43254,368,786
Austin,100120,5376,19464,72901,648,1731
Avalon Park,9606,27,49,9028,66,436
Avondale,36374,13728,18617,829,1721,1479
Belmont Cragin,73991,10785,57542,2589,1836,1239
Beverly,19781,10991,1392,6487,176,735
Bridgeport,33186,11405,6911,941,13276,653
Brighton Park,42243,3179,33789,608,4376,291
Burnside,2246,40,109,2022,0,75
Calumet Heights,12087,28,498,11404,17,140
Chatham,31382,336,783,29576,111,576
Chicago Lawn,52464,1150,30545,19343,253,1173
Clearing,24728,8939,14882,461,169,277
Douglas,21355,2171,1497,13757,2822,1108
Dunning,42574,23608,14620,990,2420,936
East Garfield Park,19901,1136,1547,16672,35,511
East Side,23870,2663,20729,251,53,173
Edgewater,56099,29925,8695,7079,7394,3006
Edison Park,11402,9166,1674,50,178,334
Englewood,21378,276,1116,19343,167,476
Forest Glen,19855,14603,2139,193,2188,732
Fuller Park,2219,66,246,1839,25,44
Gage Park,34788,996,32117,1377,224,74
Garfield Ridge,36401,13910,20311,1161,586,433
Grand Boulevard,24813,1296,809,21690,191,827
Greater Grand Crossing,28991,302,756,27416,73,444
Hegewisch,9097,3293,4455,1237,61,52
Hermosa,23157,2862,18546,805,698,246
Humboldt Park,55416,6527,27617,19155,1232,885
Hyde Park,29559,13273,2088,7769,4254,2175
Irving Park,53584,24202,20653,1739,5005,1985
Jefferson Park,27032,15368,6794,659,3382,829
Kenwood,18637,3873,445,12138,1091,1090
Lake View,101739,76083,9864,4383,7203,4206
Lincoln Park,69099,54909,4695,2378,4661,2456
Lincoln Square,42271,25830,8326,1538,4360,2217
Logan Square,71252,36477,24754,4016,3219,2786
Loop,41671,22443,4801,3377,9238,1812
Lower West Side,34237,7308,23826,866,1335,902
Mckinley Park,15479,2211,8514,279,4265,210
Montclare,13765,4686,7520,923,432,204
Morgan Park,20724,6215,834,12589,211,875
Mount Greenwood,19121,16053,1836,337,199,696
Near North Side,101208,68643,7083,6549,14952,3981
Near South Side,28216,14302,1500,6716,4284,1414
Near West Side,65581,28448,6727,15959,11591,2856
New City,40971,4068,27401,8128,964,409
North Center,35814,26156,4521,882,2256,1999
North Lawndale,30409,1618,4433,23633,59,666
North Park,19398,8633,3423,537,6097,708
Norwood Park,39641,27553,7819,373,2798,1097
Oakland,6977,293,263,6175,67,179
Ohare,13418,9105,1249,913,2062,295
Portage Park,64213,29962,27526,1103,3697,1925
Pullman,6856,848,559,5261,5,183
Riverdale,10528,228,932,9215,15,138
Rogers Park,55711,25004,10836,13510,2822,3539
Roseland,37610,528,700,35495,75,812
South Chicago,30315,1016,5743,22742,157,657
South Deering,15218,689,4760,9746,1,22
South Lawndale,69708,3757,57024,8068,562,297
South Shore,55754,1581,1776,51359,241,797
Uptown,57464,30392,8084,11160,5507,2321
Washington Heights,26456,389,249,25473,24,321
Washington Park,12366,230,171,11594,0,371
West Elsdon,18366,2627,14917,129,679,14
West Englewood,25772,255,4426,20508,79,504
West Garfield Park,16374,347,880,15047,12,88
West Lawn,32594,3996,27397,815,256,130
West Pullman,25449,289,1863,22622,0,675
West Ridge,79265,31506,17540,9093,16577,4549
West Town,86482,54549,17151,5386,4894,4502
Woodlawn,23865,2350,736,18432,859,1488
