year,name,median_sale_price
2022,Albany Park,358750.0
2022,Andersonville,499250.0
2022,Archer Heights,295000.0
2022,Archer Highlands,317500.0
2022,Armour Square,358250.0
2022,Ashburn,253250.0
2022,Ashburn Estates,302000.0
2022,Auburn Gresham,205750.0
2022,Austin,274000.0
2022,Avalon Park,213500.0
2022,Avondale,477500.0
2022,Back Of The Yards,200000.0
2022,Belmont Cragin,356250.0
2022,Belmont Heights,326750.0
2022,Belmont Terrace,317500.0
2022,Beverly,367500.0
2022,Beverly View,247500.0
2022,Beverly Woods,295000.0
2022,Big Oaks,372125.0
2022,Bowmanville,510125.0
2022,Brainerd,183300.0
2022,Brickyard,271000.0
2022,Bridgeport,440375.0
2022,Brighton Park,285000.0
2022,Bronzeville,307500.0
2022,Bryn Mawr Highlands,160000.0
2022,Bryn Mawr Historic District,248500.0
2022,Brynford Park,505500.0
2022,Bucktown,603750.0
2022,Budlong Woods,248500.0
2022,Buena Park,265500.0
2022,Burnside,162000.0
2022,Cabrini-Green,432450.0
2022,Calumet Heights,220000.0
2022,Canaryville,317500.0
2022,Carl Sandburg Village,225000.0
2022,Centerfield,280750.0
2022,Central Chicago,404950.0
2022,Central Station,462000.0
2022,Chatham,211875.0
2022,Chicago Lawn,231250.0
2022,Chinatown,331500.0
2022,Chrysler Village,207500.0
2022,Clarendon Park,309950.0
2022,Clearing,275500.0
2022,Cottage Grove Heights,170625.0
2022,Cragin,379250.0
2022,Dearborn Park,389750.0
2022,Depaul,801250.0
2022,Douglas,276000.0
2022,Douglas Park,287500.0
2022,Downtown Chicago,403750.0
2022,Dunning,321250.0
2022,East Beverly,294250.0
2022,East Chatham,163500.0
2022,East Garfield Park,243125.0
2022,East Humboldt Park,505000.0
2022,East Pilsen,492500.0
2022,East Ravenswood Historic District,370000.0
2022,East Rogers Park,207500.0
2022,East Side,195500.0
2022,East Ukrainian Village,610000.0
2022,Edgebrook,590000.0
2022,Edgewater,262750.0
2022,Edgewater Beach,183875.0
2022,Edgewater Glen,474950.0
2022,Edison Park,360000.0
2022,Englewood,118500.0
2022,Englewood Heights,257750.0
2022,Far North Side,322500.0
2022,Far Southeast Side,180000.0
2022,Far Southwest Side,245000.0
2022,Fernwood,169750.0
2022,Fifth City,165000.0
2022,Ford City,51500.0
2022,Fuller Park,191250.0
2022,Fulton Market,467250.0
2022,Fulton River District,413250.0
2022,Gage Park,235500.0
2022,Galewood,330000.0
2022,Garfield Ridge,306000.0
