year,name,median_sale_price
2012,Albany Park,144500.0
2012,Andersonville,296362.5
2012,Archer Heights,124000.0
2012,Archer Highlands,124375.0
2012,Armour Square,257500.0
2012,Ashburn,106000.0
2012,Ashburn Estates,148625.0
2012,Auburn Gresham,44575.0
2012,Austin,59550.0
2012,Avalon Park,42125.0
2012,Avondale,160500.0
2012,Back Of The Yards,29684.25
2012,Belmont Cragin,139275.0
2012,Belmont Heights,154750.0
2012,Belmont Terrace,115000.0
2012,Beverly,225450.0
2012,Beverly View,80199.0
2012,Beverly Woods,114000.0
2012,Big Oaks,205250.0
2012,Bowmanville,280500.0
2012,Brainerd,42917.5
2012,Brickyard,119250.0
2012,Bridgeport,211650.0
2012,Brighton Park,82972.0
2012,Bronzeville,60550.25
2012,Bryn Mawr Highlands,25250.0
2012,Bryn Mawr Historic District,161875.0
2012,Brynford Park,237750.0
2012,Bucktown,394750.0
2012,Budlong Woods,88750.0
2012,Buena Park,174250.0
2012,Burnside,20500.0
2012,Cabrini-Green,275000.0
2012,Calumet Heights,65500.0
2012,Canaryville,92000.0
2012,Carl Sandburg Village,162375.0
2012,Centerfield,129000.0
2012,Central Chicago,321250.0
2012,Central Station,337500.0
2012,Chatham,50000.0
2012,Chicago Lawn,50000.0
2012,Chinatown,230250.0
2012,Chrysler Village,107500.0
2012,Clarendon Park,157500.0
2012,Clearing,127000.0
2012,Cottage Grove Heights,41100.25
2012,Cragin,140000.0
2012,Dearborn Park,337000.0
2012,Depaul,554750.0
2012,Douglas,71000.0
2012,Douglas Park,32000.0
2012,Downtown Chicago,325125.0
2012,Dunning,150500.0
2012,East Beverly,168625.0
2012,East Chatham,34500.0
2012,East Garfield Park,36100.0
2012,East Humboldt Park,189000.0
2012,East Pilsen,131000.0
2012,East Ravenswood Historic District,255500.0
2012,East Rogers Park,69700.0
2012,East Side,51099.5
2012,East Ukrainian Village,384750.0
2012,Edgebrook,437250.0
2012,Edgewater,160000.0
2012,Edgewater Beach,97950.0
2012,Edgewater Glen,236125.0
2012,Edison Park,239000.0
2012,Englewood,14975.0
2012,Englewood Heights,73812.5
2012,Far North Side,171250.0
2012,Far Southeast Side,34950.0
2012,Far Southwest Side,105000.0
2012,Fernwood,24125.0
2012,Fifth City,33100.0
2012,Ford City,28250.0
2012,Fuller Park,30000.0
2012,Fulton Market,325275.25
2012,Fulton River District,322950.0
2012,Gage Park,64975.0
2012,Galewood,117787.5
2012,Garfield Ridge,135500.0
2012,Gladstone Park,165000.0
2012,Gold Coast,415625.0
2012,Goose Island,315750.0
2012,Graceland West,390500.0
2012,Grand Boulevard,60000.0
2012,Grand Crossing,25925.0
2012,Greater Grand Crossing,36650.0
2012,Greektown,271500.0
2012,Groveland Park,61500.0
2012,Hamlin Park,361375.0
2012,Hanson Park,127500.0
2012,Heart Of Chicago,129125.0
2012,Heart Of Italy,129000.0
2012,Hegewisch,76375.0
2012,Hermosa,92750.0
2012,Hollywood Park,140000.0
2012,Homan Square,35000.0
2012,Horner Park,411937.5
2012,Humboldt Park,105500.0
2012,Hyde Park,163500.0
2012,Hyde Park Kenwood Historic District,174500.0
2012,Ickes Praire,124000.0
2012,Illinois Medical District,65000.0
2012,Independence Park,342500.0
2012,Indian Village,55475.0
2012,Indian Woods,370500.0
2012,Irving Park,179625.0
2012,Irving Woods,161250.0
2012,Jackson Park Highlands,251250.0
2012,Jefferson Park,189250.0
2012,Jeffrey Manor,22140.0
2012,K-Town,28500.0
2012,Kelvyn Park,146500.0
2012,Kennedy Park,177000.0
2012,Kenwood,113000.0
2012,Kilbourn Park,140225.0
2012,Kosciuszko Park,148700.0
2012,Lake Meadows,73000.0
2012,Lake View,349975.0
2012,Lake View East,226000.0
2012,Lathrop,447500.0
2012,Leclaire Courts,67725.0
2012,Lincoln Park,441750.0
2012,Lincoln Square,287500.0
2012,Lithuanian Downtown,232000.0
2012,Little Cassubia,184500.0
2012,Little Italy,205750.0
2012,Little Vietnam,265875.0
2012,Logan Square,230000.0
2012,Longwood Manor,41099.5
2012,Loop,305000.0
2012,Lower West Side,137375.0
2012,Loyola,72775.0
2012,Magnificent Mile,536625.0
2012,Magnolia Glen,142500.0
2012,Margate Park,99250.0
2012,Marquette Park,49625.0
2012,Marshall Square,47125.0
2012,Mary Crest,235000.0
2012,Marynook,74475.0
2012,Mayfair,166500.0
2012,Mckinley Park,145500.0
2012,Midway Park,38875.0
2012,Montclare,143500.0
2012,Morgan Park,87000.0
2012,Mount Greenwood,169000.0
2012,Mount Greenwood Heights,225000.0
2012,Near East Side,436250.0
2012,Near North Side,350000.0
2012,Near South Side,271000.0
2012,New City,29789.5
2012,New City / Back Of The Yards,23750.0
2012,New East Side,413500.0
2012,New Roseland,32850.0
2012,Noble Square,348425.0
2012,North Austin,74750.0
2012,North Center,424750.0
2012,North Kenwood,103250.0
2012,North Lawndale,26199.0
2012,North Mayfair,186875.0
2012,North Park,197299.75
2012,North Shore,338530.0
2012,North Side,352500.0
2012,Northwest Side,150000.0
2012,Nortown,48975.0
2012,Norwood Park,215000.0
2012,Norwood Park East,195125.0
2012,Norwood Park West,234000.0
2012,Oakland,184375.0
2012,Old Hegewisch,52100.0
2012,Old Irving Park,192000.0
2012,Old Norwood Park,351250.0
2012,Old Town,339125.0
2012,Old Town Triangle,329250.0
2012,Oriole Park,221475.0
2012,Palmer Square,259500.0
2012,Park Manor,50775.0
2012,Park West,333125.0
2012,Peterson Park,240000.0
2012,Pill Hill,90500.0
2012,Pill Hill / Calument Heights,65500.0
2012,Pilsen Historic District,160000.0
2012,Portage Park,167125.0
2012,Prairie District,263250.0
2012,Princeton Park,23000.0
2012,Printer'S Row,237000.0
2012,Pulaski Park,286500.0
2012,Pullman,40000.0
2012,Ranch Triangle,508250.0
2012,Ravenswood,313500.0
2012,Ravenswood Gardens,460000.0
2012,Ravenswood Manor,271250.0
2012,River North,338000.0
2012,River West,300375.0
2012,Riverdale,8495.0
2012,Rogers Park,82500.0
2012,Rosehill,175750.0
2012,Roseland,27441.25
2012,Rosemoor,35000.0
2012,Schorsch Forest View,171250.0
2012,Schorsch Village,168875.0
2012,Scottsdale,94625.0
2012,Sheffield,561250.0
2012,Sheridan Park,225500.0
2012,Sheridan Station Corridor,300875.0
2012,Slag Valley,40300.0
2012,Sleepy Hollow,100750.0
2012,South Austin,32750.0
2012,South Chicago,23600.0
2012,South Commons,33291.25
2012,South Deering,24625.0
2012,South East Ravenswood,543750.0
2012,South Edgebrook,278250.0
2012,South Lawndale,50000.0
2012,South Lawndale / Little Village,50000.0
2012,South Loop,258500.0
2012,South Old Irving Park,161000.0
2012,South Shore,35750.0
2012,South Side,70000.0
2012,Southwest Side,84000.0
2012,St. Ben'S,644625.0
2012,Stateway Gardens,108292.0
2012,Stony Island Park,40400.0
2012,Streeterville,402875.0
2012,Tally'S Corner,335000.0
2012,The Bush,23312.5
2012,The Chicago University,33350.0
2012,The Gap,158538.75
2012,The Island,90000.0
2012,The Villa,375000.0
2012,Tri-Taylor,97725.0
2012,Ukrainian Village,347000.0
2012,Union Ridge,214500.0
2012,Uptown,196750.0
2012,Vittum Park,112500.0
2012,Waclawowo,195000.0
2012,Washington Heights,41500.0
2012,Washington Park,36200.0
2012,West Beverly,199500.0
2012,West Chatham,41700.0
2012,West Chesterfield,63875.0
2012,West Depaul,552500.0
2012,West Elsdon,117250.0
2012,West Englewood,14600.0
2012,West Garfield Park,30675.0
2012,West Humboldt Park,50000.0
2012,West Lake View,405625.0
2012,West Lawn,116625.0
2012,West Morgan Park,231750.0
2012,West Pullman,22825.0
2012,West Ridge,70100.0
2012,West Side,195500.0
2012,West Town,341372.0
2012,West Walker,147425.0
2012,West Woodlawn,28750.0
2012,Wicker Park,375500.0
2012,Wildwood,357500.0
2012,Woodlawn,37625.0
2012,Woodlawn Ridge,43000.0
2012,Wrightwood,252600.0
2012,Wrigleyville,408500.0
2013,Albany Park,189000.0
2013,Andersonville,314000.0
2013,Archer Heights,136750.0
2013,Archer Highlands,133272.5
2013,Armour Square,262750.0
2013,Ashburn,113000.0
2013,Ashburn Estates,161250.0
2013,Auburn Gresham,44000.0
2013,Austin,68500.0
2013,Avalon Park,54000.0
2013,Avondale,223725.0
2013,Back Of The Yards,30708.25
2013,Belmont Cragin,155750.0
2013,Belmont Heights,173750.0
2013,Belmont Terrace,171000.0
2013,Beverly,222500.0
2013,Beverly View,145500.0
2013,Beverly Woods,140000.0
2013,Big Oaks,232375.0
2013,Bowmanville,327250.0
2013,Brainerd,52203.25
2013,Brickyard,135317.5
2013,Bridgeport,237375.0
2013,Brighton Park,86250.0
2013,Bronzeville,87500.0
2013,Bryn Mawr Highlands,28725.0
2013,Bryn Mawr Historic District,150000.0
2013,Brynford Park,228500.0
2013,Bucktown,441225.0
2013,Budlong Woods,109862.5
2013,Buena Park,203750.0
2013,Burnside,25163.0
2013,Cabrini-Green,334000.0
2013,Calumet Heights,62500.0
2013,Canaryville,78000.0
2013,Carl Sandburg Village,195000.0
2013,Centerfield,139000.0
2013,Central Chicago,360000.0
2013,Central Station,450235.0
2013,Chatham,60025.0
2013,Chicago Lawn,56250.0
2013,Chinatown,256500.0
2013,Chrysler Village,59875.0
2013,Clarendon Park,190500.0
2013,Clearing,145750.0
2013,Cottage Grove Heights,46855.5
2013,Cragin,139500.0
2013,Dearborn Park,335975.0
2013,Depaul,563500.0
2013,Douglas,112067.5
2013,Douglas Park,53375.0
2013,Downtown Chicago,370000.0
2013,Dunning,173250.0
2013,East Beverly,147500.0
2013,East Chatham,22100.0
2013,East Garfield Park,42000.0
2013,East Humboldt Park,249500.0
2013,East Pilsen,171625.0
2013,East Ravenswood Historic District,291225.0
2013,East Rogers Park,98500.0
2013,East Side,59000.0
2013,East Ukrainian Village,432500.0
2013,Edgebrook,485000.0
2013,Edgewater,167050.0
2013,Edgewater Beach,113500.0
2013,Edgewater Glen,260000.0
2013,Edison Park,267500.0
2013,Englewood,17596.5
2013,Englewood Heights,45275.0
2013,Far North Side,206750.0
2013,Far Southeast Side,38975.0
2013,Far Southwest Side,110000.0
2013,Fernwood,27007.0
2013,Fifth City,57250.0
2013,Ford City,25000.0
2013,Fuller Park,16000.0
2013,Fulton Market,330875.0
2013,Fulton River District,344500.0
2013,Gage Park,68050.0
2013,Galewood,156375.0
2013,Garfield Ridge,158000.0
2013,Gladstone Park,204250.0
2013,Gold Coast,463000.0
2013,Goose Island,377500.0
2013,Graceland West,453500.0
2013,Grand Boulevard,75600.0
2013,Grand Crossing,30000.0
2013,Greater Grand Crossing,30622.5
2013,Greektown,290250.0
2013,Groveland Park,77000.0
2013,Hamlin Park,419250.0
2013,Hanson Park,126950.0
2013,Heart Of Chicago,135000.0
2013,Heart Of Italy,222000.0
2013,Hegewisch,82475.0
2013,Hermosa,129824.5
2013,Hollywood Park,190250.0
2013,Homan Square,30000.0
2013,Horner Park,388950.0
2013,Humboldt Park,142500.0
2013,Hyde Park,174250.0
2013,Hyde Park Kenwood Historic District,208750.0
2013,Ickes Praire,185000.0
2013,Illinois Medical District,52250.0
2013,Independence Park,294500.0
2013,Indian Village,103750.0
2013,Indian Woods,384500.0
2013,Irving Park,239050.0
2013,Irving Woods,169000.0
2013,Jackson Park Highlands,278750.0
2013,Jefferson Park,210000.0
2013,Jeffrey Manor,21175.0
2013,K-Town,32250.0
2013,Kelvyn Park,167500.0
2013,Kennedy Park,155000.0
2013,Kenwood,142003.5
2013,Kilbourn Park,164250.0
2013,Kosciuszko Park,190250.0
